,Num of SAT Test Takers,Enrollment,% Black or Hispanic,SAT Critical Reading Avg. Score,SAT Math Avg. Score,% Overage,% ELL,% Students with Disabilities
118,89,436,0.667,405,454,0.039,0.067,0.126
119,77,439,0.841,405,423,0.062,0.03,0.212
120,73,465,0.918,405,421,0.026,0.041,0.157
121,64,318,0.792,405,415,0.082,0.17,0.145
122,59,333,0.961,405,391,0.051,0.036,0.192
123,448,1894,0.464,404,468,0.075,0.234,0.121
124,80,469,0.97,404,418,0.051,0.062,0.192
125,69,447,0.866,404,429,0.04,0.078,0.235
126,51,405,0.951,404,418,0.074,0.116,0.153
127,48,418,0.902,404,449,0.074,0.11,0.227
128,37,330,0.952,404,393,0.121,0.091,0.233
129,392,3029,0.735,403,420,0.087,0.147,0.17
130,79,472,0.962,403,394,0.032,0.038,0.083
131,46,291,0.969,403,385,0.186,0.107,0.189
132,40,351,0.846,403,392,0.054,0.046,0.279
133,456,3289,0.324,402,471,0.104,0.247,0.185
134,54,512,0.461,402,427,0.059,0.107,0.197
135,54,416,0.966,402,395,0.132,0.067,0.226
136,49,458,0.928,402,398,0.079,0.041,0.17
137,46,326,0.936,401,397,0.052,0.021,0.153
138,105,440,0.961,400,417,0.027,0.007,0.145
139,78,442,0.894,400,426,0.115,0.054,0.131
140,64,289,0.945,400,419,0.028,0.028,0.062
141,46,419,0.952,400,357,0.141,0.086,0.227
142,24,657,0.965,400,422,0.122,0.283,0.181
143,92,534,0.882,399,417,0.084,0.062,0.169
144,83,428,0.9,399,418,0.075,0.042,0.234
145,64,235,0.949,399,396,0.132,0.196,0.298
146,58,497,0.823,399,393,0.048,0.006,0.157
147,142,1003,0.936,398,421,0.085,0.111,0.154
148,77,619,0.924,398,402,0.123,0.073,0.208
149,61,438,0.304,398,412,0.023,0.009,0.292
150,59,418,0.921,398,411,0.067,0.045,0.144
151,558,3634,0.614,397,451,0.099,0.257,0.14
152,113,636,0.863,397,410,0.028,0.03,0.151
153,58,282,0.837,397,391,0.082,0.131,0.195
154,475,2419,0.587,396,437,0.078,0.148,0.157
155,66,393,0.982,396,402,0.038,0.01,0.145
156,66,547,0.947,396,398,0.106,0.115,0.177
157,59,396,0.98,396,374,0.172,0.056,0.157
158,462,3109,0.571,395,413,0.083,0.157,0.111
159,241,1936,0.683,395,420,0.093,0.224,0.16
160,182,1227,0.927,395,418,0.066,0.037,0.202
161,72,438,0.833,395,416,0.082,0.064,0.242
162,16,189,0.915,395,400,0.074,0.085,0.36
163,95,780,0.891,394,414,0.115,0.038,0.303
164,76,518,0.983,394,400,0.1,0.124,0.274
165,53,340,0.841,394,384,0.068,0.032,0.229
166,347,2977,0.762,393,441,0.1,0.191,0.156
167,76,361,0.828,393,399,0.05,0.039,0.285
168,62,510,0.924,393,381,0.076,0.043,0.2
169,50,393,0.977,393,394,0.081,0.087,0.221
170,33,305,0.99,393,395,0.131,0.049,0.236
171,69,402,0.978,392,416,0.085,0.027,0.189
172,61,427,0.953,392,401,0.089,0.133,0.176
173,403,3253,0.646,391,409,0.152,0.176,0.16
